file,face,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,AU19,AU20
enjoying-the-sun,0,0.41494089365005493,0.42261752486228943,0.1867421716451645,0.33388328552246094,0.7210348844528198,1.0,0.37895333766937256,0.6785077452659607,1.0,0.7077800631523132,0.5331171751022339,0.4508192241191864,0.5794550776481628,0.0,0.3648166358470917,0.6067523956298828,0.8387942910194397,0.4169117510318756,0.07656502723693848,0.8520110845565796
students,0,0.5558298826217651,0.189978688955307,0.7265459299087524,0.28258296847343445,0.3601726293563843,1.0,0.6271777749061584,0.026892900466918945,0.0,0.06988579779863358,0.1304096132516861,0.669560968875885,0.48728469014167786,1.0,0.5805549621582031,0.12255790084600449,0.979046106338501,0.7562106847763062,0.31430256366729736,0.8366366028785706
students,1,0.42011186480522156,0.18972280621528625,0.0970764085650444,0.3536565601825714,0.9325026273727417,1.0,0.6059290170669556,0.8139705657958984,0.0,0.9679639339447021,0.8710374236106873,0.43248558044433594,0.10557148605585098,1.0,0.11315114051103592,0.007562471553683281,0.9999476671218872,0.6717541813850403,0.05413632467389107,0.044401347637176514
students,2,0.38952311873435974,0.23778517544269562,0.3482356667518616,0.35449716448783875,0.6444224119186401,0.0,0.5959805846214294,0.7382860779762268,0.0,0.6820838451385498,0.691429853439331,0.19811852276325226,0.31052470207214355,1.0,0.5760636925697327,0.08080331981182098,0.9875739216804504,0.46964073181152344,0.06930923461914062,0.04311664029955864
students,3,0.407157838344574,0.12925034761428833,0.790213942527771,0.2991495132446289,0.5125215649604797,0.0,0.4744466543197632,0.8922984004020691,0.0,0.38254043459892273,0.6647868752479553,0.3545483946800232,0.35341501235961914,1.0,0.719023585319519,0.03552384674549103,0.9993385672569275,0.8006581664085388,0.1436733603477478,0.7886933088302612
grandparents,0,0.25267642736434937,0.4012020230293274,0.4160642623901367,0.32552042603492737,0.6775280833244324,1.0,0.637403666973114,0.657107412815094,0.0,0.9055768251419067,0.6668317914009094,0.18451601266860962,0.24839067459106445,1.0,0.28793978691101074,0.013769205659627914,0.9999271631240845,0.6477891802787781,0.09740901738405228,0.9187366962432861
grandparents,1,0.5092869997024536,0.31617552042007446,0.4575899839401245,0.22420133650302887,0.9112764000892639,1.0,0.8060736656188965,0.9337638020515442,0.0,0.9058476686477661,0.691303551197052,0.3020467460155487,0.18571053445339203,1.0,0.18635514378547668,0.010435819625854492,0.9999872446060181,0.8087596297264099,0.016555288806557655,0.27773597836494446
grandparents,2,0.5648824572563171,0.15563423931598663,0.7097506523132324,0.3506457209587097,0.09038057178258896,0.0,0.25755059719085693,0.04753534123301506,0.0,0.02444598637521267,0.16372612118721008,0.290692538022995,0.6038658618927002,0.0,0.7181158661842346,0.6271123886108398,0.031237533316016197,0.541584312915802,0.30983975529670715,0.5787120461463928
laughing-couple,0,0.4790346324443817,0.6012346148490906,0.32093754410743713,0.3159979581832886,0.9183619022369385,1.0,0.6033806204795837,0.7678945660591125,1.0,0.9190787076950073,0.7485063076019287,0.14923593401908875,0.3895972967147827,0.0,0.20594249665737152,0.3385635018348694,0.9797896146774292,0.5267673134803772,0.09829865396022797,0.780333399772644
laughing-couple,1,0.5141339302062988,0.27125388383865356,0.8041110634803772,0.2810620665550232,0.3566581606864929,0.0,0.6925122737884521,0.046952925622463226,0.0,0.1576552391052246,0.6010299324989319,0.47653236985206604,0.48640790581703186,1.0,0.7376686930656433,0.38220611214637756,0.9963609576225281,0.6159543395042419,0.7051870226860046,0.2984219789505005
laughing-couple,2,0.7517344951629639,0.3483942151069641,0.5919795036315918,0.3143731355667114,0.31932690739631653,1.0,0.5856032371520996,0.07894939184188843,1.0,0.15868933498859406,0.30729612708091736,0.5705285668373108,0.5599696636199951,1.0,0.48876693844795227,0.1235792338848114,0.9988288283348083,0.655868411064148,0.14033177495002747,0.7755025625228882
thumbs-up,0,0.3264032006263733,0.43150797486305237,0.25549256801605225,0.2247494012117386,0.949876070022583,1.0,0.5851030945777893,0.9985138773918152,1.0,0.989309549331665,0.7101313471794128,0.038971658796072006,0.13560619950294495,1.0,0.0635085180401802,0.00525288050994277,0.9999922513961792,0.33148065209388733,0.02096216008067131,0.30293887853622437
handshake,0,0.433054119348526,0.355767160654068,0.4057134687900543,0.279267817735672,0.841304361820221,1.0,0.5944806933403015,0.9261041879653931,1.0,0.9741477966308594,0.42590370774269104,0.1976495087146759,0.16689783334732056,1.0,0.11340858787298203,0.013947268016636372,0.9999487400054932,0.3921213448047638,0.08549755811691284,0.13877052068710327
handshake,1,0.27003711462020874,0.22418229281902313,0.3530859649181366,0.28027471899986267,0.7916151285171509,1.0,0.6183483004570007,0.9902417063713074,0.0,0.8926471471786499,0.689393162727356,0.2519383430480957,0.4259472191333771,1.0,0.3678617775440216,0.6362864971160889,0.9996539354324341,0.7093548774719238,0.6113859415054321,0.8941323161125183
handshake,2,0.5591461658477783,0.5441534519195557,0.5121945142745972,0.27791526913642883,0.17935875058174133,0.0,0.295468807220459,0.2336115837097168,0.0,0.07155586779117584,0.11798850446939468,0.6603750586509705,0.4981539845466614,1.0,0.49954551458358765,0.4142060875892639,0.7968850135803223,0.6180947422981262,0.22262394428253174,0.8851941823959351
business,0,0.23983906209468842,0.18455259501934052,0.3431813716888428,0.25481536984443665,0.7732363939285278,1.0,0.429427832365036,0.6986899971961975,0.0,0.7368450164794922,0.7770859599113464,0.46822527050971985,0.2629925310611725,1.0,0.24758589267730713,0.06952517479658127,0.9995273351669312,0.564468264579773,0.026615452021360397,0.35411423444747925
piggyback,0,0.6239646077156067,0.2384616881608963,0.5119203329086304,0.31043505668640137,0.7541650533676147,1.0,0.5110379457473755,0.8736823797225952,1.0,0.6506262421607971,0.21199971437454224,0.47833964228630066,0.28923487663269043,1.0,0.20855017006397247,0.03214059770107269,0.9984720349311829,0.7395934462547302,0.030851678922772408,0.2554382383823395
piggyback,1,0.32414501905441284,0.43931567668914795,0.3618992865085602,0.25250571966171265,0.7174994945526123,1.0,0.4717799127101898,0.9784940481185913,1.0,0.7722688317298889,0.67731773853302,0.27291339635849,0.19814532995224,1.0,0.26393604278564453,0.036422498524188995,0.9999138116836548,0.37868162989616394,0.3456881046295166,0.8374273777008057
happy-man,0,0.40775978565216064,0.32784777879714966,0.2507936954498291,0.2800041437149048,0.9150375723838806,1.0,0.5496704578399658,0.9804484248161316,1.0,0.977793276309967,0.5450305938720703,0.07296401262283325,0.33729681372642517,1.0,0.15028244256973267,0.12762989103794098,0.9997598528862,0.6144217848777771,0.15789799392223358,0.36113330721855164
